DelayedWord,DelayedRT
SHIP,6860.535
DOCTOR,5029.035
XXXXX,7728.215
DESERT,3879.2
WARM,2814.37
KNIFE,5079.465
FUNERAL,5895.245
XXXXX,7995.035
XXXXX,7994.63
BELOW,1847.63
UNDER,3730.285
XXXXX,7994.615
XXXXX,7993.86
LETTER,3696.48
BANKER,7995.025
MAID,5978.415
EXPLOSION,6827.065
NINE,6962.375
PLANE,6843.965
XXXXX,7994.61
VOLCANO,4745.065
SWORD,2963.795
MAGIC,2664.07
SCL,7994.425
SLICE,2330.45
XXXXX,7998.91
XXXXX,7998.325
HAIR,3617.07
TEEYTH,7681.16
TEETH,5216.6
XXXXX,7997.05
ARM,1369.62
PALM,4301.16
XXXXX,7997.365
XXXXX,7999.805
XXXXX,7996.705
XXXXX,7999.77
XXXXX,7995.19
XXXXX,7997.605
RULER,2185.445
XXXXX,7997.355
COLONY,4683.42
TOWN,4166.57
HILL,3301.315
XXXXX,7997.415
STREET,7698.145
XXXXX,7998.51
XXXXX,8000.27
FRONT,3551.06
XXXXX,7998.27
XXXXX,7993.11
XXXXX,7995.475
XXXXX,7993.905
XXXXX,7993.74
XXXXX,7994.33
XXXXX,7993.95
XXXXX,7993.79
XXXXX,7994.555
XXXXX,7993.985
XXXXX,2547.395
XXXXX,7994.45
XXXXX,7993.765
XXXXX,7993.74
XXXXX,7994.605
TALL,5911.205
XXXXX,7994.63
XXXXX,7993.97
CAPTAIN,3979.25
XXXXX,7994.875
XXXXX,7992.8
SKIN,7045.325
XXXXX,7993.99
XXXXX,7993.635
XXXXX,7995.315
XXXXX,3180.645
XXXXX,682.7400001
XXXXX,7999.63
XXXXX,7992.87
XXXXX,7994.29
XXXXX,7994.305
MAP,4246.305
XXXXX,7994.52
XXXXX,7994.465
XXXXX,7993.775
XXXXX,4779.02
SOUL,1366.005
XXXXX,372.395
XXXXX,56.535
XXXXX,164.165
XXXXX,8026.92
XXXXX,8000.405
XXXXX,7999.165
XXXXX,8006.26
XXXXX,3853.63
XXXXX,293.66
XXXXX,259.005
XXXXX,294.13
XXXXX,152.185
PLEAD,4967.11
XXXXX,328.25
