"RecogWord","key_resp_3.keys","key_resp_3.rt","participant","session","date","expName","psychopyVersion","frameRate","Studied","StudyPosition","Block","WasPrimeOnDay1","Day1PrimeCondition","Day1Prime","Day1PrimeFor","RelatedPrimePresentedonDay1","Day1Position","Day2Position","RecogDecision","WordStatus","Hit","Miss","FalseAlarm","CorrectRejection","Day1Recalled","WithinTrialPrimed","WithinTrialPrimeCondition","CrossTrialPrimed","CrossTrialPrimeCondition"
"SLOW","z",1.44249,"AG",1,"2021-04-06_11h17.50.992","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"SURE","slash",1.147465,"AG",1,"2021-04-06_11h17.50.993","DelayedExp","2020.1.3",60,"Studied",37,2,NA,"Identical","FRONT",NA,NA,"5,18,38","3","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"FIVE","z",1.55964,"AG",1,"2021-04-06_11h17.50.994","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"TOES","z",0.829055,"AG",1,"2021-04-06_11h17.50.995","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MILK","z",1.21664,"AG",1,"2021-04-06_11h17.50.996","DelayedExp","2020.1.3",60,"Studied",15,1,"Identical","Identical","MATH",NA,NA,"13",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"CLOCK","z",1.811395,"AG",1,"2021-04-06_11h17.50.997","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ARGUE","z",0.91112,"AG",1,"2021-04-06_11h17.50.998","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"LAKE","z",0.79316,"AG",1,"2021-04-06_11h17.50.999","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"STAMP","slash",0.944175,"AG",1,"2021-04-06_11h17.50.1000","DelayedExp","2020.1.3",60,"Studied",11,4,"Identical","Identical","STAMP",NA,NA,"3",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"ANNOY","slash",1.92433,"AG",1,"2021-04-06_11h17.50.1001","DelayedExp","2020.1.3",60,"Studied",37,4,NA,"Unrelated","UNCLE",NA,NA,"14",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"NINE","slash",0.942765,"AG",1,"2021-04-06_11h17.50.1002","DelayedExp","2020.1.3",60,"Studied",14,2,NA,"Identical","CAKE",NA,NA,"2,19,37","36,66","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"MARRY","slash",0.64008,"AG",1,"2021-04-06_11h17.50.1003","DelayedExp","2020.1.3",60,"Studied",5,4,NA,"Identical","PURPOSE",NA,NA,"21","10,61","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","Unprimed",NA
"ORANGE","z",1.04424,"AG",1,"2021-04-06_11h17.50.1004","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BOSS","",NA,"AG",1,"2021-04-06_11h17.50.1005","DelayedExp","2020.1.3",60,"Studied",22,2,"Identical","Identical","BOSS",NA,NA,"17",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"PENNY","z",1.507475,"AG",1,"2021-04-06_11h17.50.1006","DelayedExp","2020.1.3",60,"Studied",18,1,"Identical","Related","DAYS","NIGHTS",NA,"20",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Related","CrossTrialPrimed","Identical"
"WRONG","slash",1.281485,"AG",1,"2021-04-06_11h17.50.1007","DelayedExp","2020.1.3",60,"Studied",7,4,NA,"Unrelated","BEHIND",NA,NA,"22","11,60","Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Unrelated","Unprimed",NA
"BLACK","z",1.310045,"AG",1,"2021-04-06_11h17.50.1008","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PRESENT","z",1.05929,"AG",1,"2021-04-06_11h17.50.1009","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"TIGER","slash",0.97941,"AG",1,"2021-04-06_11h17.50.1010","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"Old","New",0,0,1,0,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"SICK","slash",1.15961,"AG",1,"2021-04-06_11h17.50.1011","DelayedExp","2020.1.3",60,"Studied",25,3,"Identical","Identical","SICK",NA,NA,"37",NA,"Old","Old",1,0,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"FRIGHT","z",0.825315,"AG",1,"2021-04-06_11h17.50.1012","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"WINTER","z",0.90967,"AG",1,"2021-04-06_11h17.50.1013","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"PENCIL","z",1.890905,"AG",1,"2021-04-06_11h17.50.1014","DelayedExp","2020.1.3",60,"Studied",27,2,NA,NA,NA,NA,"ERASER",NA,NA,"New","Old",0,1,0,0,"NotRecalled","Unprimed",NA,"CrossTrialPrimed","Related"
"PROBLEM","z",1.81436,"AG",1,"2021-04-06_11h17.50.1015","DelayedExp","2020.1.3",60,"Studied",10,3,NA,"Unrelated","BRANCH",NA,"DILEMMA","29",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Unrelated","CrossTrialPrimed","Related"
"DRESS","z",2.326365,"AG",1,"2021-04-06_11h17.50.1016","DelayedExp","2020.1.3",60,"Studied",20,3,"Identical","Identical","DRESS",NA,NA,"15",NA,"New","Old",0,1,0,0,"Recalled","WithinTrialPrimed","Identical","CrossTrialPrimed","Identical"
"BORROW","z",0.70817,"AG",1,"2021-04-06_11h17.50.1017","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"ENTER","z",2.06378,"AG",1,"2021-04-06_11h17.50.1018","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
"MEAN","z",0.76351,"AG",1,"2021-04-06_11h17.50.1019","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"ROAD","z",0.917125,"AG",1,"2021-04-06_11h17.50.1020","DelayedExp","2020.1.3",60,NA,NA,NA,"Unrelated",NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"CrossTrialPrimed","Unrelated"
"BEFORE","z",1.34248,"AG",1,"2021-04-06_11h17.50.1021","DelayedExp","2020.1.3",60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"New","New",0,0,0,1,"NotStudied","Unprimed",NA,"Unprimed",NA
